soundName|personName|TRN/TST|soundPath|wrdPath|phnPath|txtPath|gender|region|age|recordDate|birthDate|height|race|education|prompt|start|end
sa2|ADC0|TRN|TIMIT/TRAIN/DR6/MABC0/SA2.wav|TIMIT/TRAIN/DR6/MABC0/SA2.wrd|TIMIT/TRAIN/DR6/MABC0/SA2.phn|TIMIT/TRAIN/DR6/MABC0/SA2.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |Don't ask me to carry an oily rag like|0|35840
sx287|ADC0|TRN|TIMIT/TRAIN/DR3/MADC0/SX287.wav|TIMIT/TRAIN/DR3/MADC0/SX287.wrd|TIMIT/TRAIN/DR3/MADC0/SX287.phn|TIMIT/TRAIN/DR3/MADC0/SX287.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |In the long run, it pays to buy quality|0|48743
sx17|ADC0|TRN|TIMIT/TRAIN/DR3/MADC0/SX17.wav|TIMIT/TRAIN/DR3/MADC0/SX17.wrd|TIMIT/TRAIN/DR3/MADC0/SX17.phn|TIMIT/TRAIN/DR3/MADC0/SX17.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |Carl lives in a lively|0|31437
sx197|ADC0|TRN|TIMIT/TRAIN/DR3/MADC0/SX197.wav|TIMIT/TRAIN/DR3/MADC0/SX197.wrd|TIMIT/TRAIN/DR3/MADC0/SX197.phn|TIMIT/TRAIN/DR3/MADC0/SX197.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |Draw each graph on a new|0|40858
sx377|ADC0|TRN|TIMIT/TRAIN/DR3/MADC0/SX377.wav|TIMIT/TRAIN/DR3/MADC0/SX377.wrd|TIMIT/TRAIN/DR3/MADC0/SX377.phn|TIMIT/TRAIN/DR3/MADC0/SX377.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |She always jokes about too much garlic in his|0|51098
sx107|ADC0|TRN|TIMIT/TRAIN/DR3/MADC0/SX107.wav|TIMIT/TRAIN/DR3/MADC0/SX107.wrd|TIMIT/TRAIN/DR3/MADC0/SX107.phn|TIMIT/TRAIN/DR3/MADC0/SX107.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |Birthday parties have cupcakes and ice|0|45876
si737|ADC0|TRN|TIMIT/TRAIN/DR3/MADC0/SI737.wav|TIMIT/TRAIN/DR3/MADC0/SI737.wrd|TIMIT/TRAIN/DR3/MADC0/SI737.phn|TIMIT/TRAIN/DR3/MADC0/SI737.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |Have a test-run on the family first, to be sure timing and seasoning are|0|76800
si1367|ADC0|TRN|TIMIT/TRAIN/DR3/MADC0/SI1367.wav|TIMIT/TRAIN/DR3/MADC0/SI1367.wrd|TIMIT/TRAIN/DR3/MADC0/SI1367.phn|TIMIT/TRAIN/DR3/MADC0/SI1367.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |The battery median grade-equivalent was used in data analysis in this|0|72090
si1997|ADC0|TRN|TIMIT/TRAIN/DR3/MADC0/SI1997.wav|TIMIT/TRAIN/DR3/MADC0/SI1997.wrd|TIMIT/TRAIN/DR3/MADC0/SI1997.phn|TIMIT/TRAIN/DR3/MADC0/SI1997.txt|M|North Midland|31|02/25/86|04/27/54|175.26|WHT|HS |Like as if it were built of|0|50791
sa1|ADD0|TRN|TIMIT/TRAIN/DR6/MABC0/SA1.wav|TIMIT/TRAIN/DR6/MABC0/SA1.wrd|TIMIT/TRAIN/DR6/MABC0/SA1.phn|TIMIT/TRAIN/DR6/MABC0/SA1.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |She had your dark suit in greasy wash water all|0|43418
sa2|ADD0|TRN|TIMIT/TRAIN/DR6/MABC0/SA2.wav|TIMIT/TRAIN/DR6/MABC0/SA2.wrd|TIMIT/TRAIN/DR6/MABC0/SA2.phn|TIMIT/TRAIN/DR6/MABC0/SA2.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |Don't ask me to carry an oily rag like|0|35840
sx88|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX88.wav|TIMIT/TRAIN/DR7/MADD0/SX88.wrd|TIMIT/TRAIN/DR7/MADD0/SX88.phn|TIMIT/TRAIN/DR7/MADD0/SX88.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |Flying standby can be practical if you want to save|0|52840
sx268|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX268.wav|TIMIT/TRAIN/DR7/MADD0/SX268.wrd|TIMIT/TRAIN/DR7/MADD0/SX268.phn|TIMIT/TRAIN/DR7/MADD0/SX268.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |The jaw operates by using antagonistic|0|52635
sx448|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX448.wav|TIMIT/TRAIN/DR7/MADD0/SX448.wrd|TIMIT/TRAIN/DR7/MADD0/SX448.phn|TIMIT/TRAIN/DR7/MADD0/SX448.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |Spherical gifts are difficult to|0|41371
sx178|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX178.wav|TIMIT/TRAIN/DR7/MADD0/SX178.wrd|TIMIT/TRAIN/DR7/MADD0/SX178.phn|TIMIT/TRAIN/DR7/MADD0/SX178.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |She encouraged her children to make their own Halloween|0|58881
sx358|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX358.wav|TIMIT/TRAIN/DR7/MADD0/SX358.wrd|TIMIT/TRAIN/DR7/MADD0/SX358.phn|TIMIT/TRAIN/DR7/MADD0/SX358.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |George seldom watches daytime|0|41985
si538|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SI538.wav|TIMIT/TRAIN/DR7/MADD0/SI538.wrd|TIMIT/TRAIN/DR7/MADD0/SI538.phn|TIMIT/TRAIN/DR7/MADD0/SI538.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |County officials have cooperated|0|45262
si1295|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SI1295.wav|TIMIT/TRAIN/DR7/MADD0/SI1295.wrd|TIMIT/TRAIN/DR7/MADD0/SI1295.phn|TIMIT/TRAIN/DR7/MADD0/SI1295.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |He may get a tax|0|29595
si1798|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SI1798.wav|TIMIT/TRAIN/DR7/MADD0/SI1798.wrd|TIMIT/TRAIN/DR7/MADD0/SI1798.phn|TIMIT/TRAIN/DR7/MADD0/SI1798.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |We'll both be blowing town tomorrow so we won't be moving in on|0|56424
sa1|AEB0|TRN|TIMIT/TRAIN/DR6/MABC0/SA1.wav|TIMIT/TRAIN/DR6/MABC0/SA1.wrd|TIMIT/TRAIN/DR6/MABC0/SA1.phn|TIMIT/TRAIN/DR6/MABC0/SA1.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |She had your dark suit in greasy wash water all|0|43418
sa2|AEB0|TRN|TIMIT/TRAIN/DR6/MABC0/SA2.wav|TIMIT/TRAIN/DR6/MABC0/SA2.wrd|TIMIT/TRAIN/DR6/MABC0/SA2.phn|TIMIT/TRAIN/DR6/MABC0/SA2.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |Don't ask me to carry an oily rag like|0|35840
sx90|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX90.wav|TIMIT/TRAIN/DR4/MAEB0/SX90.wrd|TIMIT/TRAIN/DR4/MAEB0/SX90.phn|TIMIT/TRAIN/DR4/MAEB0/SX90.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |The Thinker is a famous|0|31130
sx270|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX270.wav|TIMIT/TRAIN/DR4/MAEB0/SX270.wrd|TIMIT/TRAIN/DR4/MAEB0/SX270.phn|TIMIT/TRAIN/DR4/MAEB0/SX270.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |Are holiday aprons available to|0|40960
sx450|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX450.wav|TIMIT/TRAIN/DR4/MAEB0/SX450.wrd|TIMIT/TRAIN/DR4/MAEB0/SX450.phn|TIMIT/TRAIN/DR4/MAEB0/SX450.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |Roy ignored the spurious data points in drawing the|0|49664
sx180|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX180.wav|TIMIT/TRAIN/DR4/MAEB0/SX180.wrd|TIMIT/TRAIN/DR4/MAEB0/SX180.phn|TIMIT/TRAIN/DR4/MAEB0/SX180.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |Almost all colleges are now|0|44237
sx360|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX360.wav|TIMIT/TRAIN/DR4/MAEB0/SX360.wrd|TIMIT/TRAIN/DR4/MAEB0/SX360.phn|TIMIT/TRAIN/DR4/MAEB0/SX360.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |I assume moisture will damage this ship's|0|46388
si990|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SI990.wav|TIMIT/TRAIN/DR4/MAEB0/SI990.wrd|TIMIT/TRAIN/DR4/MAEB0/SI990.phn|TIMIT/TRAIN/DR4/MAEB0/SI990.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |And these hardy travelers are not unappreciated|0|52532
si1411|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SI1411.wav|TIMIT/TRAIN/DR4/MAEB0/SI1411.wrd|TIMIT/TRAIN/DR4/MAEB0/SI1411.phn|TIMIT/TRAIN/DR4/MAEB0/SI1411.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |Resolved that the anti-slavery sentiment is becoming ripe for resolute|0|65536
si2250|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SI2250.wav|TIMIT/TRAIN/DR4/MAEB0/SI2250.wrd|TIMIT/TRAIN/DR4/MAEB0/SI2250.phn|TIMIT/TRAIN/DR4/MAEB0/SI2250.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |All your wishful thinking won't change|0|40756
sa1|AEM0|TRN|TIMIT/TRAIN/DR6/MABC0/SA1.wav|TIMIT/TRAIN/DR6/MABC0/SA1.wrd|TIMIT/TRAIN/DR6/MABC0/SA1.phn|TIMIT/TRAIN/DR6/MABC0/SA1.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |She had your dark suit in greasy wash water all|0|43418
sa2|AEM0|TRN|TIMIT/TRAIN/DR6/MABC0/SA2.wav|TIMIT/TRAIN/DR6/MABC0/SA2.wrd|TIMIT/TRAIN/DR6/MABC0/SA2.phn|TIMIT/TRAIN/DR6/MABC0/SA2.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |Don't ask me to carry an oily rag like|0|35840
sx312|AEM0|TRN|TIMIT/TRAIN/DR2/FAEM0/SX312.wav|TIMIT/TRAIN/DR2/FAEM0/SX312.wrd|TIMIT/TRAIN/DR2/FAEM0/SX312.phn|TIMIT/TRAIN/DR2/FAEM0/SX312.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |Those answers will be straightforward if you think them through carefully|0|60314
sx42|AEM0|TRN|TIMIT/TRAIN/DR6/MABC0/SX421.wav|TIMIT/TRAIN/DR6/MABC0/SX421.wrd|TIMIT/TRAIN/DR6/MABC0/SX421.phn|TIMIT/TRAIN/DR6/MABC0/SX421.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |Those who teach values first abolish|0|37888
sx222|AEM0|TRN|TIMIT/TRAIN/DR2/FAEM0/SX222.wav|TIMIT/TRAIN/DR2/FAEM0/SX222.wrd|TIMIT/TRAIN/DR2/FAEM0/SX222.phn|TIMIT/TRAIN/DR2/FAEM0/SX222.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |You always come up with pathological|0|43213
sx402|AEM0|TRN|TIMIT/TRAIN/DR2/FAEM0/SX402.wav|TIMIT/TRAIN/DR2/FAEM0/SX402.wrd|TIMIT/TRAIN/DR2/FAEM0/SX402.phn|TIMIT/TRAIN/DR2/FAEM0/SX402.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |We'll serve rhubarb pie after Rachel's|0|50586
sx132|AEM0|TRN|TIMIT/TRAIN/DR2/FAEM0/SX132.wav|TIMIT/TRAIN/DR2/FAEM0/SX132.wrd|TIMIT/TRAIN/DR2/FAEM0/SX132.phn|TIMIT/TRAIN/DR2/FAEM0/SX132.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |Publicity and notoriety go hand in|0|46285
si762|AEM0|TRN|TIMIT/TRAIN/DR2/FAEM0/SI762.wav|TIMIT/TRAIN/DR2/FAEM0/SI762.wrd|TIMIT/TRAIN/DR2/FAEM0/SI762.phn|TIMIT/TRAIN/DR2/FAEM0/SI762.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |Fill small hole in bowl with|0|44135
si1392|AEM0|TRN|TIMIT/TRAIN/DR2/FAEM0/SI1392.wav|TIMIT/TRAIN/DR2/FAEM0/SI1392.wrd|TIMIT/TRAIN/DR2/FAEM0/SI1392.phn|TIMIT/TRAIN/DR2/FAEM0/SI1392.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |Assume, for example, a situation where a farm has a packing shed and|0|76186
si2022|AEM0|TRN|TIMIT/TRAIN/DR2/FAEM0/SI2022.wav|TIMIT/TRAIN/DR2/FAEM0/SI2022.wrd|TIMIT/TRAIN/DR2/FAEM0/SI2022.phn|TIMIT/TRAIN/DR2/FAEM0/SI2022.txt|F|Northern|25|02/27/86|05/13/60|160.02|WHT|BS |What outfit does she drive|0|36045
sa1|AEO0|TRN|TIMIT/TRAIN/DR6/MABC0/SA1.wav|TIMIT/TRAIN/DR6/MABC0/SA1.wrd|TIMIT/TRAIN/DR6/MABC0/SA1.phn|TIMIT/TRAIN/DR6/MABC0/SA1.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |She had your dark suit in greasy wash water all|0|43418
sa2|AEO0|TRN|TIMIT/TRAIN/DR6/MABC0/SA2.wav|TIMIT/TRAIN/DR6/MABC0/SA2.wrd|TIMIT/TRAIN/DR6/MABC0/SA2.phn|TIMIT/TRAIN/DR6/MABC0/SA2.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |Don't ask me to carry an oily rag like|0|35840
sx246|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX246.wav|TIMIT/TRAIN/DR7/MAEO0/SX246.wrd|TIMIT/TRAIN/DR7/MAEO0/SX246.phn|TIMIT/TRAIN/DR7/MAEO0/SX246.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |How ancient is this subway|0|32461
sx426|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX426.wav|TIMIT/TRAIN/DR7/MAEO0/SX426.wrd|TIMIT/TRAIN/DR7/MAEO0/SX426.phn|TIMIT/TRAIN/DR7/MAEO0/SX426.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |A moth zig-zagged along the path through Otto's|0|57447
sx156|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX156.wav|TIMIT/TRAIN/DR7/MAEO0/SX156.wrd|TIMIT/TRAIN/DR7/MAEO0/SX156.phn|TIMIT/TRAIN/DR7/MAEO0/SX156.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |Our experiment's positive outcome was|0|43520
sx336|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX336.wav|TIMIT/TRAIN/DR7/MAEO0/SX336.wrd|TIMIT/TRAIN/DR7/MAEO0/SX336.phn|TIMIT/TRAIN/DR7/MAEO0/SX336.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |Rob made Hungarian goulash for dinner and gooseberry pie for|0|60724
sx66|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX66.wav|TIMIT/TRAIN/DR7/MAEO0/SX66.wrd|TIMIT/TRAIN/DR7/MAEO0/SX66.phn|TIMIT/TRAIN/DR7/MAEO0/SX66.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |We got drenched from the uninterrupted|0|35636
si1655|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SI1655.wav|TIMIT/TRAIN/DR7/MAEO0/SI1655.wrd|TIMIT/TRAIN/DR7/MAEO0/SI1655.phn|TIMIT/TRAIN/DR7/MAEO0/SI1655.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |So, he understood her|0|44237
si1326|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SI1326.wav|TIMIT/TRAIN/DR7/MAEO0/SI1326.wrd|TIMIT/TRAIN/DR7/MAEO0/SI1326.phn|TIMIT/TRAIN/DR7/MAEO0/SI1326.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |The larvae, kept warm by the queen, are full grown in about ten|0|66560
si1956|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SI1956.wav|TIMIT/TRAIN/DR7/MAEO0/SI1956.wrd|TIMIT/TRAIN/DR7/MAEO0/SI1956.phn|TIMIT/TRAIN/DR7/MAEO0/SI1956.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |A single kick made it spring open,|0|39220
sa1|AFM0|TRN|TIMIT/TRAIN/DR6/MABC0/SA1.wav|TIMIT/TRAIN/DR6/MABC0/SA1.wrd|TIMIT/TRAIN/DR6/MABC0/SA1.phn|TIMIT/TRAIN/DR6/MABC0/SA1.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |She had your dark suit in greasy wash water all|0|43418
sa2|AFM0|TRN|TIMIT/TRAIN/DR6/MABC0/SA2.wav|TIMIT/TRAIN/DR6/MABC0/SA2.wrd|TIMIT/TRAIN/DR6/MABC0/SA2.phn|TIMIT/TRAIN/DR6/MABC0/SA2.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |Don't ask me to carry an oily rag like|0|35840
sx39|AFM0|TRN|TIMIT/TRAIN/DR7/MAFM0/SX39.wav|TIMIT/TRAIN/DR7/MAFM0/SX39.wrd|TIMIT/TRAIN/DR7/MAFM0/SX39.phn|TIMIT/TRAIN/DR7/MAFM0/SX39.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |Barb's gold bracelet was a graduation|0|38196
sx219|AFM0|TRN|TIMIT/TRAIN/DR7/MAFM0/SX219.wav|TIMIT/TRAIN/DR7/MAFM0/SX219.wrd|TIMIT/TRAIN/DR7/MAFM0/SX219.phn|TIMIT/TRAIN/DR7/MAFM0/SX219.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |Nonprofit organizations have frequent fund|0|45773
sx399|AFM0|TRN|TIMIT/TRAIN/DR7/MAFM0/SX399.wav|TIMIT/TRAIN/DR7/MAFM0/SX399.wrd|TIMIT/TRAIN/DR7/MAFM0/SX399.phn|TIMIT/TRAIN/DR7/MAFM0/SX399.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |They assume no burglar will ever enter|0|35943
sx129|AFM0|TRN|TIMIT/TRAIN/DR7/MAFM0/SX129.wav|TIMIT/TRAIN/DR7/MAFM0/SX129.wrd|TIMIT/TRAIN/DR7/MAFM0/SX129.phn|TIMIT/TRAIN/DR7/MAFM0/SX129.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |Angora cats are furrier than|0|44442
sx309|AFM0|TRN|TIMIT/TRAIN/DR7/MAFM0/SX309.wav|TIMIT/TRAIN/DR7/MAFM0/SX309.wrd|TIMIT/TRAIN/DR7/MAFM0/SX309.phn|TIMIT/TRAIN/DR7/MAFM0/SX309.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |The proof that you are seeking is not available in|0|48333
si939|AFM0|TRN|TIMIT/TRAIN/DR7/MAFM0/SI939.wav|TIMIT/TRAIN/DR7/MAFM0/SI939.wrd|TIMIT/TRAIN/DR7/MAFM0/SI939.phn|TIMIT/TRAIN/DR7/MAFM0/SI939.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |Impressions often appear in a symbolic form and cannot be taken at face|0|63181
si1569|AFM0|TRN|TIMIT/TRAIN/DR7/MAFM0/SI1569.wav|TIMIT/TRAIN/DR7/MAFM0/SI1569.wrd|TIMIT/TRAIN/DR7/MAFM0/SI1569.phn|TIMIT/TRAIN/DR7/MAFM0/SI1569.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |This is our singular|0|24064
si2199|AFM0|TRN|TIMIT/TRAIN/DR7/MAFM0/SI2199.wav|TIMIT/TRAIN/DR7/MAFM0/SI2199.wrd|TIMIT/TRAIN/DR7/MAFM0/SI2199.phn|TIMIT/TRAIN/DR7/MAFM0/SI2199.txt|M|Western|33|03/31/86|12/22/52|172.72|WHT|BS |Will you tell me|0|17716
sa1|AJP0|TRN|TIMIT/TRAIN/DR6/MABC0/SA1.wav|TIMIT/TRAIN/DR6/MABC0/SA1.wrd|TIMIT/TRAIN/DR6/MABC0/SA1.phn|TIMIT/TRAIN/DR6/MABC0/SA1.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |She had your dark suit in greasy wash water all|0|43418
sa2|AJP0|TRN|TIMIT/TRAIN/DR6/MABC0/SA2.wav|TIMIT/TRAIN/DR6/MABC0/SA2.wrd|TIMIT/TRAIN/DR6/MABC0/SA2.phn|TIMIT/TRAIN/DR6/MABC0/SA2.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |Don't ask me to carry an oily rag like|0|35840
sx174|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX174.wav|TIMIT/TRAIN/DR6/MAJP0/SX174.wrd|TIMIT/TRAIN/DR6/MAJP0/SX174.phn|TIMIT/TRAIN/DR6/MAJP0/SX174.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |The haunted house was a hit due to outstanding audio-visual|0|68404
sx354|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX354.wav|TIMIT/TRAIN/DR6/MAJP0/SX354.wrd|TIMIT/TRAIN/DR6/MAJP0/SX354.phn|TIMIT/TRAIN/DR6/MAJP0/SX354.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |A lawyer was appointed to execute her|0|48436
sx84|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX84.wav|TIMIT/TRAIN/DR6/MAJP0/SX84.wrd|TIMIT/TRAIN/DR6/MAJP0/SX84.phn|TIMIT/TRAIN/DR6/MAJP0/SX84.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |Cooperation along with understanding alleviate|0|59495
sx264|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX264.wav|TIMIT/TRAIN/DR6/MAJP0/SX264.wrd|TIMIT/TRAIN/DR6/MAJP0/SX264.phn|TIMIT/TRAIN/DR6/MAJP0/SX264.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |We saw eight tiny icicles below our|0|52327
sx444|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX444.wav|TIMIT/TRAIN/DR6/MAJP0/SX444.wrd|TIMIT/TRAIN/DR6/MAJP0/SX444.phn|TIMIT/TRAIN/DR6/MAJP0/SX444.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |The toddler found a clamshell near the camp|0|51508
